,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,
1,Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Confused,Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,
2,Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,,,,,,,,,,,,,
3,Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,,,,,,,,,,,,,
4,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,,,,,,,,,,,,,,
5,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,,,,,,,,,,,,,,
6,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,,,
7,Not Confused,Confused,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,,,,,,,,,,,,,
8,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Confused,Confused,Confused,Not Confused,Not Confused,Confused,Confused,,,,,,,,,,,,,
9,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,
10,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,,,,,,,,,,,,,,,,
11,Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,,,
12,Confused,Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,,,,,,,,,,,,,,,,
13,Confused,Confused,Not Confused,Confused,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,,,
14,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,,,,,,,,,,,,,,,,,
15,Confused,Confused,Not Confused,Confused,Confused,Not Confused,Confused,Confused,Confused,,,,,,,,,,,,,,,,,,,
16,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,Confused,Not Confused,,,,,,,,,,,,,,,,,
17,Confused,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,,
18,Confused,Confused,Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,Confused,,,,,,,,,,,,,,,,,
19,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,,
20,Confused,Confused,Confused,Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,,
21,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,,
22,Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,,
23,Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,,,
24,Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,,,,,,,,,,,,,,,,,,
25,Confused,Not Confused,Not Confused,Confused,Confused,Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,,
26,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Confused,Confused,Not Confused,Confused,Confused,Confused,Not Confused,,,,,,,,,,,
27,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Confused,Not Confused,Confused,Confused,Confused,Not Confused,Confused,,,,,,,,,,,
28,Confused,Confused,Confused,Not Confused,Confused,Confused,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Confused,Confused,Confused,,,,,,,,,,
29,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Confused,,,,,,,,,,
30,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,Confused,,,,,,,,,,
31,Confused,Not Confused,Confused,Confused,Confused,Confused,Not Confused,Confused,Confused,Confused,Not Confused,Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,,,,,,,,,,
32,Confused,Not Confused,Confused,Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,,,,,,,,,,
33,Not Confused,Confused,Confused,Confused,Confused,Not Confused,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,,
