,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,Not Confused,Not Confused,Confused,Confused,Confused,Confused,Not Confused,Not Confused,,,,,,,,
1,Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,,,,,,,,
2,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,,,,,,,,
3,Not Confused,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,
4,Confused,Not Confused,Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,,,,,,,,
5,Not Confused,Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,,,,,,,,
6,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Confused,,,,,,,,,
7,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,,,,,,,,,
8,Confused,Not Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,,,,,,,,,
9,Confused,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,
10,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,
11,Confused,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,,,,,,,,,
12,Not Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,,,,,,,,,,
13,Confused,Confused,Confused,Confused,Not Confused,Not Confused,,,,,,,,,,
14,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,
15,Confused,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,
16,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,
17,Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,Not Confused,,,,,,,,,
18,Not Confused,Not Confused,Confused,Confused,Confused,Not Confused,,,,,,,,,,
19,Confused,Not Confused,Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,
20,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,Confused,,,,,,,,,
21,Confused,Not Confused,Confused,Confused,Confused,Not Confused,,,,,,,,,,
22,Confused,Not Confused,Confused,Not Confused,Confused,Not Confused,,,,,,,,,,
23,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,,
24,Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,,,,,,,,,,
25,Confused,Not Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Not Confused,,,,,,,,
26,Confused,Confused,Confused,Confused,Confused,Confused,Confused,Not Confused,,,,,,,,
27,Confused,Not Confused,Not Confused,Confused,Not Confused,Not Confused,Confused,Not Confused,,,,,,,,
28,Confused,Not Confused,Confused,Confused,Not Confused,Not Confused,Not Confused,Not Confused,,,,,,,,
